pts_ra_HOME,fga_ra_HOME,fg3a_ra_HOME,fta_ra_HOME,oreb_ra_HOME,dreb_ra_HOME,asts_ra_HOME,stls_ra_HOME,blks_ra_HOME,tos_ra_HOME,FG_pct_ra_HOME,FG3_pct_ra_HOME,FT_pct_ra_HOME,pts_ra_AWAY,fga_ra_AWAY,fg3a_ra_AWAY,fta_ra_AWAY,oreb_ra_AWAY,dreb_ra_AWAY,asts_ra_AWAY,stls_ra_AWAY,blks_ra_AWAY,tos_ra_AWAY,FG_pct_ra_AWAY,FG3_pct_ra_AWAY,FT_pct_ra_AWAY,HOME_TEAM_WINS
99.11764706,81.55882353,26.14705882,21.44117647,8.264705882,33.47058824,24.17647059,9.147058824,5.617647059,14.91176471,0.448376002,0.344285611,0.803242368,92.05882353,81.41176471,27.55882353,23.47058824,9.941176471,32.70588235,18.79411765,8.558823529,6.411764706,18.08823529,0.412271831,0.314026834,0.697473532,1
99.67567568,81.51351351,25.94594595,21.78378378,8.108108108,33.32432432,24.08108108,9.081081081,5.486486486,14.81081081,0.451113855,0.343677178,0.800669528,101.9189189,84.97297297,27.91891892,22.45945946,11.51351351,34.48648649,20.78378378,6.621621622,4.081081081,15.67567568,0.445308003,0.353878632,0.734815808,1
99.86842105,81.71052632,25.78947368,21.73684211,8.157894737,33.28947368,24.10526316,9.052631579,5.447368421,14.76315789,0.451956808,0.342527779,0.799336119,101.7368421,87.71052632,26.05263158,25.05263158,12.94736842,33.63157895,19.26315789,8.157894737,3.736842105,13.76315789,0.434285071,0.341201874,0.692277558,1
100.3076923,81.87179487,25.74358974,21.64102564,8.205128205,33.12820513,24.33333333,9.153846154,5.41025641,14.61538462,0.45406281,0.342292024,0.800207843,97.86111111,84.16666667,22.08333333,22.16666667,10.58333333,33.88888889,20.61111111,6.472222222,5.833333333,13.72222222,0.432529879,0.334928361,0.804783633,1
100.4186047,82.25581395,26.39534884,21.69767442,8.534883721,32.72093023,24.18604651,9.069767442,5.418604651,14.65116279,0.451801756,0.340073489,0.795108949,98.07317073,84.24390244,21.7804878,21.80487805,10.58536585,33.7804878,20.56097561,6.390243902,5.902439024,13.48780488,0.434912294,0.336209548,0.809981844,0
101.4222222,82.73333333,26.46666667,21.48888889,8.644444444,32.73333333,24.64444444,9.4,5.6,14.68888889,0.455141351,0.343246149,0.795092411,102.0697674,88.27906977,22.79069767,22.88372093,11.97674419,37.46511628,22.1627907,6.441860465,6.023255814,14.04651163,0.433166679,0.363452439,0.761291142,1
101.3125,82.97916667,26.5625,21.20833333,8.479166667,32.8125,24.77083333,9.3125,5.625,14.66666667,0.454972775,0.339623724,0.798722548,95.84782609,84.32608696,17.54347826,20.39130435,10.58695652,32.95652174,21.19565217,7.717391304,4.02173913,15.17391304,0.441515186,0.320771492,0.755983223,1
101.244898,82.91836735,26.40816327,20.97959184,8.387755102,33.02040816,24.89795918,9.306122449,5.632653061,14.71428571,0.4561468,0.342359653,0.796707802,98.93617021,85.93617021,22.68085106,18.63829787,10.65957447,33.25531915,22.76595745,8.212765957,4.914893617,14.10638298,0.44749216,0.350217163,0.7638992,1
100.9259259,83.01851852,26.57407407,20.81481481,8.462962963,33.16666667,24.77777778,9.314814815,5.574074074,14.90740741,0.454418873,0.343625389,0.789952063,103.25,82.69230769,25.42307692,26.55769231,8.980769231,33.05769231,23.05769231,8.096153846,5.115384615,13.32692308,0.459234009,0.358733174,0.700953254,0
100.7192982,82.73684211,26.66666667,20.98245614,8.228070175,33.19298246,24.56140351,9.192982456,5.50877193,14.92982456,0.453454803,0.340930592,0.792526586,99.25862069,83.86206897,27.84482759,22.36206897,9.017241379,34.31034483,21.15517241,6.931034483,3.706896552,13.05172414,0.434022006,0.325757015,0.784713842,1
101.1355932,82.77966102,26.55932203,21.03389831,8.186440678,33.25423729,24.69491525,9.271186441,5.525423729,14.98305085,0.455624082,0.344125663,0.789729075,102.7368421,85.56140351,24.0877193,24.29824561,10.94736842,33.66666667,20.26315789,9.263157895,5.052631579,14.50877193,0.44543606,0.344144022,0.752600562,1
101.1639344,83.06557377,26.62295082,20.91803279,8.344262295,33.32786885,24.75409836,9.229508197,5.524590164,14.98360656,0.45465291,0.347237589,0.785694242,99.65517241,86.05172414,22.68965517,19.18965517,10.65517241,33.37931034,23,8.034482759,5.051724138,14.32758621,0.448499072,0.351008326,0.764938294,0
101.5079365,83.23809524,26.87301587,20.6984127,8.380952381,33.36507937,24.79365079,9.301587302,5.523809524,15.03174603,0.455283645,0.349521853,0.791439398,96.35483871,80.01612903,19.32258065,23.59677419,9.274193548,34.38709677,20.25806452,6.580645161,6.177419355,13.69354839,0.456440941,0.317622861,0.742337175,0
101.625,83.59375,27.09375,20.65625,8.40625,33.453125,24.890625,9.328125,5.5625,15.046875,0.454655687,0.347490453,0.789489824,98.69354839,82.12903226,16.25806452,23.41935484,10.72580645,31.83870968,22.67741935,7.806451613,5.774193548,15.27419355,0.460219308,0.342339821,0.753263748,0
101.4769231,83.63076923,27.2,20.58461538,8.4,33.53846154,24.86153846,9.292307692,5.584615385,15.07692308,0.454101056,0.346669332,0.786959212,113.6935484,86.11290323,30,24.08064516,10.16129032,36.0483871,28.56451613,8.370967742,6.225806452,15.29032258,0.484759333,0.409004808,0.7500168,0
101.5,83.71212121,27.3030303,20.63636364,8.46969697,33.56060606,24.90909091,9.363636364,5.666666667,15.01515152,0.453519681,0.344536196,0.788924476,101.6615385,88.38461538,21.53846154,21.90769231,11.90769231,36.43076923,21.90769231,6.015384615,5.507692308,13.67692308,0.436159186,0.361380426,0.770243345,1
101.2835821,83.6119403,27.14925373,20.40298507,8.432835821,33.68656716,24.97014925,9.28358209,5.656716418,15.01492537,0.4541165,0.34641757,0.786104708,101.1666667,83.72727273,28.93939394,24.36363636,8.924242424,35.39393939,20.90909091,7.121212121,4.924242424,12.48484848,0.429794853,0.349365585,0.787294508,1
